      table_name      |       column_name        |          data_type          | is_nullable |           column_default            
 organizations        | slug                     | text                        | NO          | 
 organizations        | display_name             | text                        | YES         | 
 organizations        | short_name               | text                        | YES         | 
 organizations        | description              | text                        | YES         | 
 organizations        | organization_type        | USER-DEFINED                | NO          | 
 organizations        | parent_id                | uuid                        | YES         | 
 organizations        | hierarchy_path           | ARRAY                       | NO          | '{}'::text[]
 organizations        | hierarchy_level          | integer                     | NO          | 0
 organizations        | province_territory       | text                        | YES         | 
 organizations        | sectors                  | ARRAY                       | YES         | '{}'::labour_sector[]
 organizations        | email                    | text                        | YES         | 
 organizations        | phone                    | text                        | YES         | 
 organizations        | website                  | text                        | YES         | 
 organizations        | address                  | jsonb                       | YES         | 
 organizations        | clc_affiliated           | boolean                     | YES         | false
 organizations        | affiliation_date         | date                        | YES         | 
 organizations        | charter_number           | text                        | YES         | 
 organizations        | member_count             | integer                     | YES         | 0
 organizations        | active_member_count      | integer                     | YES         | 0
 organizations        | last_member_count_update | timestamp with time zone    | YES         | 
 organizations        | subscription_tier        | text                        | YES         | 
 organizations        | billing_contact_id       | uuid                        | YES         | 
 organizations        | settings                 | jsonb                       | YES         | '{}'::jsonb
 organizations        | features_enabled         | ARRAY                       | YES         | '{}'::text[]
 organizations        | status                   | text                        | YES         | 'active'::text
 organizations        | created_at               | timestamp with time zone    | YES         | now()
 organizations        | updated_at               | timestamp with time zone    | YES         | now()
 organizations        | created_by               | uuid                        | YES         | 
 organizations        | legacy_tenant_id         | uuid                        | YES         | 
 organizations        | clc_affiliate_code       | character varying           | YES         | 
 organizations        | per_capita_rate          | numeric                     | YES         | 
 organizations        | remittance_day           | integer                     | YES         | 15
 organizations        | last_remittance_date     | timestamp with time zone    | YES         | 
 organizations        | fiscal_year_end          | date                        | YES         | '2024-12-31'::date
 organizations        | clerk_organization_id    | text                        | YES         | 
(194 rows)

